X	Y	fid	map_ID	Site_ID	site_name	District	INCLUDE	Reference
4842098.58246096	2947739.09502704	"29"	"97"	"355"	Vresovice	Prostejov	"1"	Sebela 1999
4840479.32510634	2945396.48386809	"30"	"14"	"60"	Dobrochov	Prostejov	"0"	Sebela 1999
4841292.35758449	2942791.23228429	"31"	"21"	"99"	Hradcany	Prostejov	"0"	Sebela 1999
4871941.586979	2957084.36665952	"32"	"68"	"260"	Radotín	Prerov	"0"	Sebela 1999
4870240.92151747	2954318.8673432	"33"	"17"	"79"	Drevohostice	Prerov	"0"	Sebela 1999
4872068.86080737	2948423.01792916	"34"	"65"	"249"	Prusinovice	Kromeriz	"0"	Sebela 1999
4861457.73184522	2945598.87443367	"35"	"79"	"285"	Stará Ves	Prerov	"0"	Sebela 1999
4866150.90075932	2946989.13836116	"36"	"31"	"132"	Kostelec U Holesova	Kromeriz	"1"	Sebela 1999
4849232.28891722	2941705.22517068	"37"	"28"	"127"	Kojetin	Prerov	"0"	Sebela 1999
4846426.96384013	2940706.96344585	"38"	"55"	"210"	Nemcice Nad Hanou	Prostejov	"0"	Sebela 1999
4890080.04938895	2962453.95045205	"39"	"56"	"211"	Nemetice	Vsetin	"0"	Sebela 1999
4863971.80205877	2940050.14697106	"40"	"24"	"104"	Hulín	Kromeriz	"1"	Sebela 1999
4849509.1242042	2938869.54206881	"41"	"36"	"144"	Krenovice	Vyskov	"0"	Sebela 1999
4854712.48408779	2938326.22509636	"42"	"22"	"100.3"	Hradisko	Kromeriz	"1"	Sebela 1999
4831261.1818616	2936207.65652226	"43"	"67"	"257"	Pustimer	Vyskov	"1"	Sebela 1999
4834911.49561671	2932468.75379405	"44"	"20"	"97"	Hostice-Heroltice	Vyskov	"1"	Sebela 1999
4826635.5446681	2931880.21796259	"45"	"99"	"358"	Vyskov-Dedice	Vyskov	"0"	Sebela 1999
4830363.38558933	2931395.95352448	"46"	"98"	"357"	Vyskov	Vyskov	"0"	Sebela 1999
4840048.66638311	2932228.9166968	"47"	"13"	"59"	Detkovice	Vyskov	"0"	Sebela 1999
4857420.0145394	2935203.17786173	"48"	"33"	"140"	Kromeriz	Kromeriz	"0"	Sebela 1999
4835557.53044126	2927535.96333361	"49"	"90"	"333"	Vazany	Vyskov	"0"	Sebela 1999
